OBJECTID,GNIS County Code,Geographic Identifier - FIPS Code,Area of Land (square meters),Area of Water (square meters),Name,State,Average Household Size,Average Household Size - Margin of Error,Average Household Size of Owner-Occupied Unit,Average Household Size of Owner-Occupied Unit - Margin of Error,Average Household Size of Renter-Occupied Unit,Average Household Size of Renter-Occupied Unit - Margin of Error,Total Population,Total Population - Margin of Error,Population Density (people per square kilometer),created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length,Population Density - Margin of Error
549,01702380,15005,31057603,105764468,Kalawao County,Hawaii,1.34,0.18,,,1.36,0.18,75,16,2.414867625,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,38998469.05,49483.07849,0.51517176
2674,01383936,48301,1732230057,19981167,Loving County,Texas,3.09,1.14,2.86,1.46,3.5,1.79,102,47,0.058883634,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,2435670590,254885.3093,0.027132655
2658,01383920,48269,2359148814,6398044,King County,Texas,2.51,0.53,2.29,1.05,2.63,0.61,228,69,0.096645027,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,3419999514,233914.7229,0.029247837
1657,00835825,31005,1852759729,7644718,Arthur County,Nebraska,2.17,0.2,2.25,0.23,1.98,0.37,418,46,0.225609394,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,3326417894,232214.7536,0.024827828
1633,01719590,30069,4288047865,48927318,Petroleum County,Montana,2.31,0.28,2.4,0.36,2.11,0.41,432,57,0.100745144,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,9361377915,640380.3193,0.013292762
1713,00835881,31117,2224733580,2680669,McPherson County,Nebraska,2.23,0.3,1.8,0.21,3.17,0.62,454,89,0.204069379,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,3982526583,257926.886,0.04000479
1807,00933055,35021,5504963126,1162620,Harding County,New Mexico,2.18,0.41,2.23,0.44,2.08,0.7,459,69,0.083379305,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,8400373098,492628.5574,0.012534144
1659,00835827,31009,1840673980,9443894,Blaine County,Nebraska,2.2,0.23,2.15,0.28,2.3,0.47,480,55,0.260774045,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,3343366436,232631.2237,0.029880359
301,00198171,08111,1003660616,2035929,San Juan County,Colorado,2.05,0.28,2.11,0.34,1.92,0.47,544,97,0.542015888,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,1611963633,209303.3465,0.096646215
1712,00835879,31115,1459513671,19565477,Loup County,Nebraska,2.1,0.19,1.98,0.21,2.71,0.67,585,61,0.400818445,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,2672949313,207175.5198,0.041794744
2654,01383916,48261,3777375654,1262209502,Kenedy County,Texas,2.82,0.67,2.77,1.23,2.85,0.84,595,181,0.157516767,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,4724996256,548336.9098,0.047916865
2782,01448019,49009,1805185916,61230034,Daggett County,Utah,3.31,0.95,2.88,0.72,6.81,5.49,612,168,0.339023252,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,3268811362,359440.9366,0.093065206
1740,00835907,31171,1846403705,2028433,Thomas County,Nebraska,2.21,0.21,2.37,0.23,1.78,0.35,645,72,0.349327722,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,3340415418,232526.0387,0.038994722
2679,01383947,48311,2952065878,43985814,McMullen County,Texas,2.97,0.68,2.9,0.81,3.15,0.91,662,193,0.224249738,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,3882875456,253408.8616,0.065377945
2540,01383802,48033,2324366073,22297606,Borden County,Texas,2.55,0.31,2.33,0.3,3.2,0.83,665,119,0.286099512,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,3326401315,230859.8571,0.051196755
95,01419986,02282,19744199346,3986129001,Yakutat City and Borough,Alaska,2.69,0.21,2.95,0.35,2.24,0.41,689,79,0.034896325,esri_demographics,4/1/2020 20:53,esri_demographics,4/1/2020 20:53,81581519477,2321908.757,0.004001175
